block_off	str_off	speaker	text	raw_hex	english	status
0x785000	0x64		%<04><01><fc>%<14><02><fb><fc>#!#!%<1c><0a><01><0a><02><0c><08><10><02><04><08><00>#<<00><00><07>#_#<04>$<04>#<05>$<00>、おはよう。#<<07><00><05>#_#<04>$<00>#<05>…………#<<0c><00><16>#_#<04>$<04>#<05>$<00>、朝だよ。$<00>、起きる。@#!$<00>、朝だよ。$<00>、起きる。#>%<1c><04><11><ff><06><00>#!#<"<00><12>#_#<04>$<00>#<05>う〜ん………もう１０分だけ寝かしてくれよ、$<04>………#<4<00><0b>#_#<04>$<04>#<05>だめッ！@$<04>、$<00>、起こす。#>%<1c><06><01><0a><02><01><08><00>#<?<00><07>#_#<04>$<00>#<05>うわぁーーーーッ！！#!#>%<1c><04><11><ff><00><00>%<1c><06><01><04><02><01><08><00>%<1c><04><11><ff><04><00>%<1c><06><01><04><02><01><04><00>%<1c><04><11><ff><00><00>%<1c><06><01><04><02><01><08><00>%<1c><04><11><ff><06><00>%<1c><06><01><04><02><01><04><00>%<1c><04><11><ff><00><00>%<1c><06><01><04><02><01><08><00>%<1c><04><11><ff><04><00>%<1c><06><01><04><02><01><04><00>%<1c><04><11><ff><00><00>%<1c><06><01><04><02><01><08><00>%<1c><04><11><ff><06><00>%<1c><06><01><04><02><01><04><00>%<1c><04><11><ff><00><00>%<1c><06><01><04><02><01><08><00>%<1c><04><11><ff><04><00>%<1c><06><01><04><02><01><04><00>%<1c><04><11><ff><00><00>%<1c><06><01><ff><02><02><02><00>%<1c><06><01><0a><01><05><04><00>%<1c><04><11><0a><06><00>%<1c><06><01><ff><04><02><01><00>#!%<1c><06><01><ff><02><04><04><00>#<F<00><04>#_#<04>$<00>#<05>$<04>〜ッ！#<J<00><11>#_#<04>$<04>#<05>$<00>、起きた。@$<00>、起きた。@$<00>、起きた。#!#>%<1c><06><01><0a><01><10><01><00>%<1c><06><01><0a><01><10><04><00>%<1c><06><01><0a><01><0e><01><00>%<1c><06><01><0a><01><04><08><00>#<[<00><1d>#_#<04>$<00>#<05>くぅ〜ッ、まったく、$<04>の奴！@#!こっちは、昨日のイン石騒動で、@ほとんど眠ってないっていうのに……#>%<1c><0e><01><ff><02><04><04><10><01><04><04><04><01><04><08><00>%<1c><04><11><ff><02><00>%<1f><01><04>#<x<00><03>%<1a><02><02><00>#_#<04>$<00>#<05>おはよう。#<{<00><06>%<1a><02><01><0d>#_#<04>$<0c>#<05>おはよう、$<00>。#<<81><00><0f>#_#<04>$<00>#<05>ねえ、父さん、昨日落ちたイン石のことだけど………#<<90><00><10>%<1a><02><01><0c>#_#<04>$<10>#<05>ああ、そのことだったら、これからマモン達と調査に行くことになっている。#<<a0><00><09>#_#<04>$<00>#<05>俺も連れて行ってもらえないかな#<ぅ<00><14>#_#<04>$<10>#<05>ん〜、#!残念だが、仕事だから、@連れていってはやれないな。#<す<00><05>#_#<04>$<00>#<05>…………#<つ<00><17>#_#<04>$<10>#<05>まあ、そうがっかりするな。@イン石は逃げやしないさ。調査が済んだら、また連れて行ってやるよ。#<る<00><0d>%<1a><02><01><0d>#_#<04>$<0c>#<05>お父さんの言う通りよ。@そうなさい、$<00>。#<<e6><00><05>#_#<04>$<00>#<05>わかったよ。#>%<1f><01><00>#!#<<eb><00><0a>#_#<04>$<10>#<05>さぁて、そろそろ出かけるとするかな。#>%<1c><06><01><00><02><03><04><00>%<1c><06><01><00><08><01><04><00>%<1c><04><11><00><06><00>%<1f><01><04>#<<f5><00><03>%<1a><02><01><0c>#_#<04>$<10>#<05>じゃあ、行ってくる。#>%<1f><01><00>%<1c><0a><01><00><01><0a><02><08><04><10><02><00>%<14><01><01>%<1c><01><00>%<ff>	250401fc251402fbfc23212321251c0a010a020c081002040800233c000007235f23042404230524008141b5cad6b38142233c070005235f2304240023058163816381638163233c0c0016235f2304240423052400814192a982bed68142240081418b4eb7d981424023212400814192a982bed68142240081418b4eb7d98142233e251c0411ff06002321233c220012235f230424002305b38160dd816381638163d3b38250824f95aa82beb99051b6bcc3b8dad681412404816381638163233c34000b235f23042404230582bed2836281494024048141240081418b4ebabd8142233e251c06010a02010800233c3f0007235f230424002305b3dca7815b815b815b815b8362814981492321233e251c0411ff0000251c06010402010800251c0411ff0400251c06010402010400251c0411ff0000251c06010402010800251c0411ff0600251c06010402010400251c0411ff0000251c06010402010800251c0411ff0400251c06010402010400251c0411ff0000251c06010402010800251c0411ff0600251c06010402010400251c0411ff0000251c06010402010800251c0411ff0400251c06010402010400251c0411ff0000251c0601ff02020200251c06010a01050400251c04110a0600251c0601ff040201002321251c0601ff02040400233c460004235f2304240023052404816083628149233c4a0011235f230424042305240081418b4eb7c0814240240081418b4eb7c0814240240081418b4eb7c081422321233e251c06010a01100100251c06010a01100400251c06010a010e0100251c06010a01040800233c5b001d235f230424002305b8a9816083628141cfafc0b881412404c9937a8149402321baafc1ca81418df093fac98343839390ce919b93ae82c5814140cec4dd82c796b0afc3c5b2afc3b2b3c9c681638163233e251c0e01ff020404100104040401040800251c0411ff0200251f0104233c780003251a020200235f230424002305b5cad6b38142233c7b0006251a02010d235f2304240c2305b5cad6b3814124008142233c81000f235f230424002305c8b481419583bbdd81418df093fa978ec1c08343839390cec9bac482beb982c7816381638163233c900010251a02010c235f230424102305b1b18141bfc9bac482beafc0d78141badab6d7837d838283939242c492b28db8c68d73b8bac4c6c5afc3b2d98142233ca00009235f23042400230589b4d39841dac38d73afc3d3d7b4c5b2b6c5233ca90014235f230424102305dd8160814123218e63944f82be82aa81418e648e9682beb6d78141409841dac3b2afc3cad4dac5b2c58142233cbd0005235f2304240023058163816381638163233cc20017235f230424102305cfb18141bfb382aaafb6d8bdd9c58142408343839390ceca93a682b0d4bcc5b2bb814292b28db882aa8dcfdd82bed78141cfc09841dac38d73afc3d4d9d68142233cd9000d251a02010d235f2304240c2305b59583bbddc98cbeb392cad8d6814240bfb3c5bbb2814124008142233ce60005235f230424002305dcb6afc0d68142233e251f01002321233ceb000a235f230424102305bba7c38141bfdbbfdb8f6fb6b9d9c4bdd9b6c58142233e251c06010002030400251c06010008010400251c0411000600251f0104233cf50003251a02010c235f23042410230582b6acb181418d73afc3b8d98142233e251f0100251c0a0100010a02080410020025140101251c010025ff	%<04><01><fc>%<14><02><fb><fc>#!#!%<1c><0a><01><0a><02><0c><08><10><02><04><08><00>#<<00><00><07>#_#<04>$<04>#<05>$<00>, morning.#<<07><00><05>#_#<04>$<00>#<05>...#<<0c><00><16>#_#<04>$<04>#<05>$<00>, it's morning. $<00>, get up!@#!$<00>、朝だよ。$<00>、起きる。#>%<1c><04><11><ff><06><00>#!#<"<00><12>#_#<04>$<00>#<05>Mmh... just ten more minutes, $<04>...#<4<00><0b>#_#<04>$<04>#<05>No way!@$<04> will get $<00> up!#>%<1c><06><01><0a><02><01><08><00>#<?<00><07>#_#<04>$<00>#<05>Waaaaah!!#!#>%<1c><04><11><ff><00><00>%<1c><06><01><04><02><01><08><00>%<1c><04><11><ff><04><00>%<1c><06><01><04><02><01><04><00>%<1c><04><11><ff><00><00>%<1c><06><01><04><02><01><08><00>%<1c><04><11><ff><06><00>%<1c><06><01><04><02><01><04><00>%<1c><04><11><ff><00><00>%<1c><06><01><04><02><01><08><00>%<1c><04><11><ff><04><00>%<1c><06><01><04><02><01><04><00>%<1c><04><11><ff><00><00>%<1c><06><01><04><02><01><08><00>%<1c><04><11><ff><06><00>%<1c><06><01><04><02><01><04><00>%<1c><04><11><ff><00><00>%<1c><06><01><04><02><01><08><00>%<1c><04><11><ff><04><00>%<1c><06><01><04><02><01><04><00>%<1c><04><11><ff><00><00>%<1c><06><01><ff><02><02><02><00>%<1c><06><01><0a><01><05><04><00>%<1c><04><11><0a><06><00>%<1c><06><01><ff><04><02><01><00>#!%<1c><06><01><ff><02><04><04><00>#<F<00><04>#_#<04>$<00>#<05>$<04>!!#<J<00><11>#_#<04>$<04>#<05>$<00>'s up.@$<00>'s up.@$<00>'s up.#!#>%<1c><06><01><0a><01><10><01><00>%<1c><06><01><0a><01><10><04><00>%<1c><06><01><0a><01><0e><01><00>%<1c><06><01><0a><01><04><08><00>#<[<00><1d>#_#<04>$<00>#<05>Ngh... honestly, $<04>!@#!こっちは、昨日のイン石騒動で、@ほとんど眠ってないっていうのに……#>%<1c><0e><01><ff><02><04><04><10><01><04><04><04><01><04><08><00>%<1c><04><11><ff><02><00>%<1f><01><04>#<x<00><03>%<1a><02><02><00>#_#<04>$<00>#<05>Morning.#<{<00><06>%<1a><02><01><0d>#_#<04>$<0c>#<05>Morning, $<00>.#<<81><00><0f>#_#<04>$<00>#<05>Hey Dad, about that meteor that fell yesterday...#<<90><00><10>%<1a><02><01><0c>#_#<04>$<10>#<05>Ah, that. I'm off to investigate it with Mamon and the others.#<<a0><00><09>#_#<04>$<00>#<05>Think you could take me along?#<ぅ<00><14>#_#<04>$<10>#<05>Hmm...#!残念だが、仕事だから、@連れていってはやれないな。#<す<00><05>#_#<04>$<00>#<05>...#<つ<00><17>#_#<04>$<10>#<05>Now, don't look so glum.@The meteor won't run off. Once the survey's done, I'll take you to see it.#<る<00><0d>%<1a><02><01><0d>#_#<04>$<0c>#<05>Your father's right.@Do as he says, $<00>.#<<e6><00><05>#_#<04>$<00>#<05>All right.#>%<1f><01><00>#!#<<eb><00><0a>#_#<04>$<10>#<05>Well now, time I was off.#>%<1c><06><01><00><02><03><04><00>%<1c><06><01><00><08><01><04><00>%<1c><04><11><00><06><00>%<1f><01><04>#<<f5><00><03>%<1a><02><01><0c>#_#<04>$<10>#<05>I'm off, then.#>%<1f><01><00>%<1c><0a><01><00><01><0a><02><08><04><10><02><00>%<14><01><01>%<1c><01><00>%<ff>	human
0x785000	0x54a		#<04>$<0c>#<05>%<06><02><02><0e>$<00>、遊びに行くのはいいけどイン石を見に行くのだけは、絶対にダメよ！%<ff>	2304240c2305250602020e24008141975682d1c68d73b8c9cab2b2b982c78343839390cea68ca9c68d73b8c982beb9ca814190e291cec6835f8381d6814925ff		
0x785000	0x58a		%<ff>	25ff		
0x785000	0x58c		#<04>若者#<05>よう、$<00>。@%<06><02><10><14>昨日のイン石はすごかったよなぁ。#<00>#_うちの親父もペンローズ博士達と@ザクセンキャニオンへ調査に行ったみたいだぜ。%<ff>	23048ee18ed22305d6b38141240081424025060210148df093fac98343839390cecabd82b2b6afc0d6c5a781422300235fb3c1c990659583d383798393838d815b8359948e8e6d9242c4408355834e835a8393834c8383836a83498393cd92b28db8c68d73afc0d0c0b282be82ba814225ff		
0x785000	0x5fe		#<04>お婆さん#<05>ウュリア王国とゾリアス帝国が、とうとう開戦したそうじゃ。まったく、物騒な世の中になったもんじゃよ。%<ff>	2304b5946bbbdd230583458385838a834189a48d91c4835d838a8341835892e98d9182aa8141c4b3c4b38a4a90edbcc0bfb382b6ac8142cfafc0b8814195a8919bc590a2c99286c6c5afc0d3dd82b6acd6814225ff		
0x785000	0x653		#<04>お爺さん#<05>%<0d><03><01>「<12>%<06><02><02><11>%<00><01><12>%<ff>	2304b596eabbdd2305250d0301a21225060202112500011225ff		
0x785000	0x66d		#<04>おばさん#<05>ここもずいぶん開拓されて緑が増えたけれど、西にあるハマックの町の周辺は、放射性廃棄物で汚染されてるらしいわ。特に、廃棄処理場のダストなんか突然変異で凶暴になったギギが、たくさんいるってよ。%<ff>	2304b582cebbdd2305babad382b8b282d4dd8a4a91f1bbdac397ce82aa919db4c0b9da82c7814190bcc6b1d9836e837d8362834ec992acc98efc95d3ca814195fa8ecb90ab94708afc95a882c5899890f5bbdac3d9d7bcb2dc814293c1c6814194708afc8f88979d8feac9835f83588367c5ddb693cb915295cf88d982c58ba5965cc6c5afc0834d834d82aa8141c0b8bbddb2d9afc3d6814225ff		
0x785000	0x708		#<04>娘#<05>最近、緑がすごく増えてきたのはいいけど、湖の近くなんか、大きな虫がたくさん繁殖して危ないそうよ。%<ff>	230496ba23058dc58bdf814197ce82aabd82b2b8919db4c3b7c0c9cab2b2b982c781418ccec98bdfb8c5ddb6814191e5b7c5928e82aac0b8bbdd94c99042bcc38aebc5b2bfb3d6814225ff		
0x785000	0x753		#<04>お婆さん#<05>%<06><02><10><15>町の外に出ちゃあならんぞ。@荒れ地には、峡谷からやってきた恐ろしい虫達が、うろついとるからの。%<ff>	2304b5946bbbdd2305250602101592acc98a4fc68f6fc1acb1c5d7dd82bc8142408d72da926ec6ca81418bac924ab6d7d4afc3b7c08bb0dbbcb2928e924282aa8141b3dbc2b2c4d9b6d7c9814225ff		
0x785000	0x7a2		#<04>少女#<05>ザクセンキャニオンって、北にある大峡谷のことでしょ。%<ff>	23048fad8f9723058355834e835a8393834c8383836a83498393afc38141966bc6b1d991e58bac924ac9bac482c5bcae814225ff		
