block_off	str_off	speaker	text	raw_hex	english	status
0x784066	0		しおん	bcb5dd	Sion	
0x784066	1		しおん・あすまーん	bcb5dd8145b1bdcfb0dd	Sion Asmarn	
0x784066	2		しょーこ	bcaeb0ba	Shoko	
0x784066	3		しょーこ・ペんろーズ	bcaeb0ba81458379dddbb08359	Shoko Penrose	
0x784066	4		かる	b6d9	Kal	
0x784066	5		Ｓ・かる	82728145b6d9	S. Kal	
0x784066	6		ジょー	8357aeb0	Joe	
0x784066	7		すくらっプ・ジょー	bdb8d7af837681458357aeb0	Scrap Joe	
0x784066	8		うぇるダ	b3aad9835f	Welda	
0x784066	9		うぇるダ・みゅれっつ	b3aad9835f8145d0addaafc2	Welda Mlretz	
0x784066	10		ギーデる	834db08366d9	Giedel	
0x784066	11		デゅーく・ギーデる	8366adb0b88145834db08366d9	Duke Giedel	
0x784066	12		るしあ	d9bcb1	Lucia	
0x784066	13		るしあ・あすまーん	d9bcb18145b1bdcfb0dd	Lucia Asmarn	
0x784066	14		まもん	cfd3dd	Mamon	
0x784066	15		まもん・ペんろーズ	cfd3dd81458379dddbb08359	Mamon Penrose	
0x784066	16		ジド	83578368	Jido	
0x784066	17		ジゃグま	8357ac834fcf	Jagma	
0x784066	18		ジゃグま・ドりあん	8357ac834fcf81458368d8b1dd	Jagma Dorian	
0x784066	19		ららうぇる	d7d7b3aad9	Rarawel	
0x784066	20		ららうぇる・ドりあん	d7d7b3aad981458368d8b1dd	Rarawel Dorian	
0x784066	21		のベる	c98378d9	Nobel	
0x784066	22		のベる・さりバん	c98378d98145bbd8836fdd	Nobel Sullivan	
0x784066	23		バいデん	836fb28366dd	Biden	
0x784066	24		ガドもす・バいデん	834b8368d3bd8145836fb28366dd	Gadmos Biden	
0x784066	25		いーる・こせ王	b2b0d98145babe89a4	King Yle	
0x784066	26		ザーて・こせ<87><55>世	8355b0c38145babe875590a2		
0x784066	27		−−−−−−	817c817c817c817c817c817c		
0x784066	28		あいすにードる	b1b2bdc6b08368d9	Ice Needle	
0x784066	29		すたんなっくる	bdc0ddc5afb8d9	Stun Knuckle	
0x784066	30		さバいバるないふ	bb836fb2836fd9c5b2cc	Survival Knife	
0x784066	31		ひーとくろー	cbb0c4b8dbb0	Heat Claw	
0x784066	32		れいないふ	dab2c5b2cc	Ray Knife	
0x784066	33		ひーとうぃっプ	cbb0c4b3a8af8376	Heat Whip	
0x784066	34		Ｇ・なっくる	82668145c5afb8d9	G. Knuckle	
0x784066	35		ちたんブれード	c1c0dd8375dab08368	Titan Blade	
0x784066	36		ベりりうむそード	8378d8d8b3d1bfb08368	Beryl Sword	
0x784066	37		ひーとそード	cbb0c4bfb08368	Heat Sword	
0x784066	38		すたんそード	bdc0ddbfb08368	Stun Sword	
0x784066	39		さーめっとそード	bbb0d2afc4bfb08368	Cermet Sword	
0x784066	40		あいすブれード	b1b2bd8375dab08368	Ice Blade	
0x784066	41		れいそード	dab2bfb08368	Ray Sword	
0x784066	42		ふれいむそード	ccdab2d1bfb08368	Flame Sword	
0x784066	43		そうるブれいかー	bfb3d98375dab2b6b0	Soul Breaker	
0x784066	44		グれーとれい・Ｓ	834fdab0c4dab281458272	Great Ray S	
0x784066	45		ついんれいそード	c2b2dddab2bfb08368	Twin Ray Sword	
0x784066	46		ザいザーそード	8355b28355b0bfb08368	Zaizer Sword	
0x784066	47		れいらんさー	dab2d7ddbbb0	Ray Lancer	
0x784066	48		ないとブりんガー	c5b2c48375d8dd834bb0	Night Bringer	
0x784066	49		Ｇ・はんまー	82668145caddcfb0	G. Hammer	
0x784066	50		プらズまあっくす	8376d78359cfb1afb8bd	Plasma Axe	
0x784066	51					
0x784066	52		プらズまガん	8376d78359cf834bdd	Plasma Gun	
0x784066	53		はんドガん	cadd8368834bdd	Handgun	
0x784066	54		ブろーにんグ	8375dbb0c6dd834f	Browning	
0x784066	55		はんドブらすたー	cadd83688375d7bdc0b0	Hand Blaster	
0x784066	56		さブましんガん	bb8375cfbcdd834bdd	SMG	
0x784066	57		ビーむらいふる	8372b0d1d7b2ccd9	Beam Rifle	
0x784066	58		対戦車らいふる	91ce90ed8ed4d7b2ccd9	A-Tank Rifle	
0x784066	59		火炎放射器	89ce898a95fa8ecb8aed	Flamethrower	
0x784066	60		Ｆ・ブらすたー	826581458375d7bdc0b0	F. Blaster	
0x784066	61		さんダーボると	bbdd835fb0837bd9c4	Thunderbolt	
0x784066	62		れいブらすたー	dab28375d7bdc0b0	Ray Blaster	
0x784066	63		まいんドブれーく	cfb2dd83688375dab0b8	Mind Break	
0x784066	64		Ｚ・ブらすたー	827981458375d7bdc0b0	Z. Blaster	
0x784066	65		めガましんガん	d2834bcfbcdd834bdd	Mega MG	
0x784066	66		バズーか	836f8359b0b6	Bazooka	
0x784066	67		しょるダーかのん	bcaed9835fb0b6c9dd	Shoulder Cannon	
0x784066	68		Ｆ・バすたー	82658145836fbdc0b0	F. Buster	
0x784066	69		ふりーズきゃのん	ccd8b08359b7acc9dd	Freeze Cannon	
0x784066	70		えれきゅーと	b4dab7adb0c4	Electrocute	
0x784066	71		れいバすたー	dab2836fbdc0b0	Ray Buster	
0x784066	72		れいすとーむ	dab2bdc4b0d1	Ray Storm	
0x784066	73		ふぉとんきゃのん	ccabc4ddb7acc9dd	Photon Cannon	
0x784066	74		超重力きゃのん	92b48f6497cdb7acc9dd	Gravity Cannon	
0x784066	75		さいこすまっしゅ	bbb2babdcfafbcad	Psycho Smash	
0x784066	76		ザいザーきゃのん	8355b28355b0b7acc9dd	Zaizer Cannon	
0x784066	77		対戦車みさいる	91ce90ed8ed4d0bbb2d9	A-Tank Missile	
0x784066	78		Ｍ・らんちゃー	826c8145d7ddc1acb0	M. Launcher	
0x784066	79		なパーむみさいる	c58370b0d1d0bbb2d9	Napalm Missile	
0x784066	80		ふりーズみさいる	ccd8b08359d0bbb2d9	Freeze Missile	
0x784066	81		はいパーみさいる	cab28370b0d0bbb2d9	Hyper Missile	
0x784066	82		多弾頭みさいる	91bd926593aad0bbb2d9	Multi Missile	
0x784066	83		ＢＨくらっしゃー	82618267b8d7afbcacb0	BH Crusher	
0x784066	84					
0x784066	85					
0x784066	86					
0x784066	87					
0x784066	88		ますく	cfbdb8	Mask	
0x784066	89		ないとますく	c5b2c4cfbdb8	Night Mask	
0x784066	90		はーふへるむ	cab0cccdd9d1	Half Helm	
0x784066	91		すーパーますく	bdb08370b0cfbdb8	Super Mask	
0x784066	92		ふるへるむ	ccd9cdd9d1	Full Helm	
0x784066	93		ふぁいたーへるむ	cca7b2c0b0cdd9d1	Fighter Helm	
0x784066	94		ＳＳＳ・へるむ	8272827282728145cdd9d1	SSS Helm	
0x784066	95		照準器	8fc68f808aed	Sight	
0x784066	96		赤外線照準器	90d48a4f90fc8fc68f808aed	IR Sight	
0x784066	97		さいこさいと	bbb2babbb2c4	Psycho Sight	
0x784066	98		れいさいと	dab2bbb2c4	Ray Sight	
0x784066	99		さいとへるむ	bbb2c4cdd9d1	Sight Helm	
0x784066	100		さいきっくへるむ	bbb2b7afb8cdd9d1	Psychic Helm	
0x784066	101		すくらっプへるむ	bdb8d7af8376cdd9d1	Scrap Helm	
0x784066	102		れいさいとへるむ	dab2bbb2c4cdd9d1	Ray Sight Helm	
0x784066	103					
0x784066	104		いベいしブりんグ	b28378b2bc8375d8dd834f	Evade Ring	
0x784066	105		まグねっとりんグ	cf834fc8afc4d8dd834f	Magnet Ring	
0x784066	106		電磁ブれすれっと	93648ea58375dabddaafc4	EM Bracelet	
0x784066	107		れいブれすれっと	dab28375dabddaafc4	Ray Bracelet	
0x784066	108		ちたんしーるド	c1c0ddbcb0d98368	Titan Shield	
0x784066	109		ないとしーるド	c5b2c4bcb0d98368	Night Shield	
0x784066	110		さいこしーるド	bbb2babcb0d98368	Psycho Shield	
0x784066	111		電磁しーるド	93648ea5bcb0d98368	EM Shield	
0x784066	112		れいしーるド	dab2bcb0d98368	Ray Shield	
0x784066	113		ザいザーしーるド	8355b28355b0bcb0d98368	Zaizer Shield	
0x784066	114		超次元バりあ	92b48e9f8cb3836fd8b1	Dim Barrier	
0x784066	115		れいバりあ	dab2836fd8b1	Ray Barrier	
0x784066	116		超電磁バりあ	92b493648ea5836fd8b1	EM Barrier	
0x784066	117		はいパーバりあ	cab28370b0836fd8b1	Hyper Barrier	
0x784066	118		ＢＨ・バりあ	826182678145836fd8b1	BH Barrier	
0x784066	119					
0x784066	120					
0x784066	121					
0x784066	122					
0x784066	123					
0x784066	124		しゃつ	bcacc2	Shirt	
0x784066	125		こーと	bab0c4	Coat	
0x784066	126		プろてくたー	8376dbc3b8c0b0	Protector	
0x784066	127		プろとさいバー	8376dbc4bbb2836fb0	Proto Cyber	
0x784066	128		らいとすーつ	d7b2c4bdb0c2	Light Suit	
0x784066	129		ポりまーすーつ	837cd8cfb0bdb0c2	Polymer Suit	
0x784066	130		こすもすーつ	babdd3bdb0c2	Cosmo Suit	
0x784066	131		せらみっくすーつ	bed7d0afb8bdb0c2	Ceramic Suit	
0x784066	132		ふぁいたーすーつ	cca7b2c0b0bdb0c2	Fighter Suit	
0x784066	133		はいパーすーつ	cab28370b0bdb0c2	Hyper Suit	
0x784066	134		すくらっプすーつ	bdb8d7af8376bdb0c2	Scrap Suit	
0x784066	135		さいバーすーつ	bbb2836fb0bdb0c2	Cyber Suit	
0x784066	136		さいこすーつ	bbb2babdb0c2	Psycho Suit	
0x784066	137		プろてくとすーつ	8376dbc3b8c4bdb0c2	Protect Suit	
0x784066	138		ちたんあーまー	c1c0ddb1b0cfb0	Titan Armor	
0x784066	139		あーむドすーつ	b1b0d18368bdb0c2	Armed Suit	
0x784066	140		バとるすーつ	836fc4d9bdb0c2	Battle Suit	
0x784066	141		ないとあーまー	c5b2c4b1b0cfb0	Night Armor	
0x784066	142		すーパーさいバー	bdb08370b0bbb2836fb0	Super Cyber	
0x784066	143		すちーるボデぃ	bdc1b0d9837b8366a8	Steel Body	
0x784066	144		ちたんボデぃ	c1c0dd837b8366a8	Titan Body	
0x784066	145		さいバーふれーむ	bbb2836fb0ccdab0d1	Cyber Frame	
0x784066	146		超電磁ふれーむ	92b493648ea5ccdab0d1	EM Frame	
0x784066	147		すくらっプボデぃ	bdb8d7af8376837b8366a8	Scrap Body	
0x784066	148		ザいザーふれーむ	8355b28355b0ccdab0d1	Zaizer Frame	
0x784066	149					
0x784066	150					
0x784066	151					
0x784066	152					
0x784066	153					
0x784066	154					
0x784066	155					
0x784066	156		はんドめデぃかる	cadd8368d28366a8b6d9	Hand Medkit	
0x784066	157		めデぃかるつーる	d28366a8b6d9c2b0d9	Medical Tool	
0x784066	158		めデぃかるせっと	d28366a8b6d9beafc4	Medical Set	
0x784066	159		はいめデぃかる	cab2d28366a8b6d9	Hi-Medkit	
