block_off	str_off	speaker	text	raw_hex	english	status
0x2d6000	0x8a		<05><00><05>ネズミの君主はファウンテンヘッドの<05><00><09>守護者モルフォスを捕らえると、<05><00><0d>緑色の泥の亡者とネズミたちに町中を<05><00><11>走りまわらせた。<05><00><15>泥の呪いを解くためにはモルフォスを<05><00><19>自由にしてやらねばならない。<0c><09><19><06><02>▼<06><0f><05><00><00><ba><b0><d7><af><b8>の記録<05><16><00><07><08><01><02><00>	050005836c8359837e82cc8c4e8ee582cd83748340834583938365839383778362836882cc0500098ee78cec8ed28382838b83748348835882f095df82e782a682e982c6814105000d97ce904682cc934482cc96538ed282c6836c8359837e82bd82bf82c992ac928682f0050011919682e882dc82ed82e782b982bd8142050015934482cc8ef482a282f089f082ad82bd82df82c982cd8382838b83748348835882f00500198ea9975282c982b582c482e282e782cb82ce82c882e782c882a281420c0919060281a5060f050000bab0d7afb882cc8b4c985e0516000708010200		
0x2d6000	0x16b		<00>	00		ignore
0x2d6000	0x16c		<00>	00		ignore
0x2d6000	0x16d		<00>	00		ignore
0x2d6000	0x16e		<00>	00		ignore
0x2d6000	0x16f		<00>	00		ignore
0x2d6000	0x170		<00>	00		ignore
0x2d6000	0x171		<05><00><01>「フォースの聖堂を建てるのに<05><00><05>　柱のかざりが足りないのです。<05><00><09>　手を貸してもらえますか？」<00>	050001817583748348815b835882cc90b993b082f08c9a82c482e982cc82c90500058140928c82cc82a982b482e882aa91ab82e882c882a282cc82c582b7814205000981408ee882f091dd82b582c482e082e782a682dc82b782a98148817600		
0x2d6000	0x1d1		<05><00><01>「私にかまわず行ってください」<00>	05000181758e8482c982a982dc82ed82b88d7382c182c482ad82be82b382a2817600		
0x2d6000	0x1f3		<05><00><01>「この島に散らばる銀のドクロを<05><00><05>　５つ持ってきてくれたら<05><00><09>　お礼を差し上げましょう」<00>	050001817582b182cc938782c98e5582e782ce82e98be282cc8368834e838d82f00500058140825482c28e9d82c182c482ab82c482ad82ea82bd82e7050009814082a897e782f08db782b58fe382b082dc82b582e582a4817600		
0x2d6000	0x24d		<05><00><01>「銀のドクロが見つかれば<05><00><05>　聖堂を完成できます」<00>	05000181758be282cc8368834e838d82aa8ca982c282a982ea82ce050005814090b993b082f08aae90ac82c582ab82dc82b7817600		
0x2d6000	0x282		<05><00><01>「聖堂はもうすぐ完成します。<05><00><05>　あなた方にフォースの恵みが<05><00><09>　ありますように」<05><00><0d>(１個につき 1,000 Exp)<00>	050001817590b993b082cd82e082a482b782ae8aae90ac82b582dc82b78142050005814082a082c882bd95fb82c983748348815b835882cc8c6282dd82aa050009814082a082e882dc82b782e682a482c9817605000d2882508cc282c982c282ab20312c303030204578702900		
0x2d6000	0x2ef		<05><00><01>「ついに聖堂が完成しました！<05><00><05>　あなた方にフォースの加護が<05><00><09>　あらんことを」<0c><09><19><06><02>▼<06><0f><0b><05><00><01>「地下の洞窟の合い言葉は<05><00><05>　『ＲＡＴＳ』です。<05><00><09>　ドクロが見つかったら<05><00><0d>　また持ってきてください」<05><00><11>(１個につき 1,000 Exp)<00>	050001817582c282a282c990b993b082aa8aae90ac82b582dc82b582bd8149050005814082a082c882bd95fb82c983748348815b835882cc89c18cec82aa050009814082a082e782f182b182c682f081760c0919060281a5060f0b0500018175926e89ba82cc93b48c4182cc8d8782a28cbe977482cd050005814081778271826082738272817882c582b7814205000981408368834e838d82aa8ca982c282a982c182bd82e705000d814082dc82bd8e9d82c182c482ab82c482ad82be82b382a281760500112882508cc282c982c282ab20312c303030204578702900		
0x2d6000	0x3cc		賢者サイファー<00>	8cab8ed28354834383748340815b00		
0x2d6000	0x3db		<05><00><01>「１０ゴールドで旅の役に立つ呪文を<05><00><05>　かけてあげましょう」<05><00><09>払いますか？<00>	05000181758250824f8353815b838b836882c597b782cc96f082c997a782c28ef495b682f0050005814082a982af82c482a082b082dc82b582e582a4817605000995a582a282dc82b782a9814800		
0x2d6000	0x429		ギルドの徒弟ペギー<00>	834d838b836882cc936b92ed8379834d815b00		
0x2d6000	0x43c		<05><00><01>「研究資料を買うのに５０ゴールド<05><00><05>　足りないんです。<05><00><09>　私を助けてくれたらカラス・ギルドの<05><00><0d>　会員資格を差し上げましょう」<05><00><11>払いますか？<00>	05000181758ca48b868e9197bf82f0948382a482cc82c98254824f8353815b838b8368050005814091ab82e882c882a282f182c582b7814205000981408e8482f08f9582af82c482ad82ea82bd82e7834a838983588145834d838b836882cc05000d814089ef88f58e918a6982f08db782b58fe382b082dc82b582e582a4817605001195a582a282dc82b782a9814800		
